Holiday_ID,countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,Month
25370,England,Boxing Day,Boxing Day,NULL,NULL,12/26/2018,12
25371,Finland,Tapaninpäivä,Tapaninpäivä,NULL,FI,12/26/2018,12
25372,Germany,Zweiter Weihnachtstag,Zweiter Weihnachtstag,NULL,DE,12/26/2018,12
25373,Hungary,Karácsony másnapja,Karácsony másnapja,NULL,HU,12/26/2018,12
25376,Italy,Santo Stefano,Santo Stefano,NULL,IT,12/26/2018,12
25380,Norway,Andre juledag,Andre juledag,NULL,NO,12/26/2018,12
25381,Poland,Bo?e Narodzenie (drugi dzie?),Bo?e Narodzenie (drugi dzie?),NULL,PL,12/26/2018,12
25382,Scotland,Boxing Day,Boxing Day,NULL,NULL,12/26/2018,12
25388,Norway,Søndag,Søndag,NULL,NO,12/30/2018,12
25390,Hungary,Szilveszter,Szilveszter,NULL,HU,12/31/2018,12
25394,Austria,Neujahr,Neujahr,NULL,AT,1/1/2019,1
25396,Belgium,Nieuwjaarsdag,Nieuwjaarsdag,NULL,BE,1/1/2019,1
25400,Croatia,Nova Godina,Nova Godina,NULL,HR,1/1/2019,1
25403,England,New Year's Day,New Year's Day,NULL,NULL,1/1/2019,1
25404,Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,NULL,FI,1/1/2019,1
25405,France,Jour de l'an,Jour de l'an,NULL,FR,1/1/2019,1
25406,Germany,Neujahr,Neujahr,NULL,DE,1/1/2019,1
25407,Hungary,Újév,Újév,NULL,HU,1/1/2019,1
25410,Italy,Capodanno,Capodanno,NULL,IT,1/1/2019,1
25416,Norway,Første nyttårsdag,Første nyttårsdag,NULL,NO,1/1/2019,1
25417,Poland,Nowy Rok,Nowy Rok,NULL,PL,1/1/2019,1
25418,Portugal,Ano Novo,Ano Novo,NULL,PT,1/1/2019,1
25419,Scotland,New Year's Day,New Year's Day,NULL,NULL,1/1/2019,1
25422,Spain,Año nuevo,Año nuevo,NULL,ES,1/1/2019,1
25430,Scotland,New Year Holiday,New Year Holiday,NULL,NULL,1/2/2019,1
25433,Austria,Heilige Drei Könige,Heilige Drei Könige,NULL,AT,1/6/2019,1
25434,Croatia,Sveta tri kralja,Sveta tri kralja,NULL,HR,1/6/2019,1
25435,Finland,Loppiainen,Loppiainen,NULL,FI,1/6/2019,1
25436,Italy,Epifania del Signore,Epifania del Signore,NULL,IT,1/6/2019,1
25437,Norway,Søndag,Søndag,NULL,NO,1/6/2019,1
25438,Poland,?wi?to Trzech Króli,?wi?to Trzech Króli,NULL,PL,1/6/2019,1
25439,Spain,Epifanía del Señor,Epifanía del Señor,NULL,ES,1/6/2019,1
25444,Norway,Søndag,Søndag,NULL,NO,1/13/2019,1
25448,Norway,Søndag,Søndag,NULL,NO,1/20/2019,1
25453,Norway,Søndag,Søndag,NULL,NO,1/27/2019,1
25456,Norway,Søndag,Søndag,NULL,NO,2/3/2019,2
25462,Norway,Søndag,Søndag,NULL,NO,2/10/2019,2
25465,Norway,Søndag,Søndag,NULL,NO,2/17/2019,2
25469,Norway,Søndag,Søndag,NULL,NO,2/24/2019,2
25471,Norway,Søndag,Søndag,NULL,NO,3/3/2019,3
25479,Norway,Søndag,Søndag,NULL,NO,3/10/2019,3
25481,Hungary,Nemzeti ünnep,Nemzeti ünnep,NULL,HU,3/15/2019,3
25484,Norway,Søndag,Søndag,NULL,NO,3/17/2019,3
25495,Norway,Søndag,Søndag,NULL,NO,3/24/2019,3
25498,Norway,Søndag,Søndag,NULL,NO,3/31/2019,3
25501,Norway,Søndag,Søndag,NULL,NO,4/7/2019,4
25504,Norway,Søndag,Søndag,NULL,NO,4/14/2019,4
25509,Norway,Skjærtorsdag,Skjærtorsdag,NULL,NO,4/18/2019,4
25517,England,Good Friday,Good Friday,NULL,NULL,4/19/2019,4
25518,Finland,Pitkäperjantai,Pitkäperjantai,NULL,FI,4/19/2019,4
25519,Germany,Karfreitag,Karfreitag,NULL,DE,4/19/2019,4
25520,Hungary,Nagypéntek,Nagypéntek,NULL,HU,4/19/2019,4
25525,Norway,Langfredag,Langfredag,NULL,NO,4/19/2019,4
25526,Portugal,Sexta-feira Santa,Sexta-feira Santa,NULL,PT,4/19/2019,4
25527,Scotland,Good Friday,Good Friday,NULL,NULL,4/19/2019,4
25534,Belgium,Pasen,Pasen,NULL,BE,4/21/2019,4
25536,Croatia,Uskrs,Uskrs,NULL,HR,4/21/2019,4
25538,Finland,Pääsiäispäivä,Pääsiäispäivä,NULL,FI,4/21/2019,4
25539,Hungary,Húsvét,Húsvét,NULL,HU,4/21/2019,4
25540,Italy,Pasqua di Resurrezione,Pasqua di Resurrezione,NULL,IT,4/21/2019,4
25542,Norway,"Første påskedag, Søndag","Første påskedag, Søndag",NULL,NO,4/21/2019,4
25543,Poland,Niedziela Wielkanocna,Niedziela Wielkanocna,NULL,PL,4/21/2019,4
25544,Portugal,Páscoa,Páscoa,NULL,PT,4/21/2019,4
25548,Austria,Ostermontag,Ostermontag,NULL,AT,4/22/2019,4
25549,Belgium,Paasmaandag,Paasmaandag,NULL,BE,4/22/2019,4
25550,Croatia,Uskrsni ponedjeljak,Uskrsni ponedjeljak,NULL,HR,4/22/2019,4
25553,England,Easter Monday,Easter Monday,NULL,NULL,4/22/2019,4
25554,Finland,2. pääsiäispäivä,2. pääsiäispäivä,NULL,FI,4/22/2019,4
25555,France,Lundi de Pâques,Lundi de Pâques,NULL,FR,4/22/2019,4
25556,Germany,Ostermontag,Ostermontag,NULL,DE,4/22/2019,4
25557,Hungary,Húsvét Hétf?,Húsvét Hétf?,NULL,HU,4/22/2019,4
25560,Italy,Lunedì dell'Angelo,Lunedì dell'Angelo,NULL,IT,4/22/2019,4
25564,Norway,Andre påskedag,Andre påskedag,NULL,NO,4/22/2019,4
25565,Poland,Poniedzia?ek Wielkanocny,Poniedzia?ek Wielkanocny,NULL,PL,4/22/2019,4
25573,Italy,Festa della Liberazione,Festa della Liberazione,NULL,IT,4/25/2019,4
25575,Portugal,Dia da Liberdade,Dia da Liberdade,NULL,PT,4/25/2019,4
25579,Norway,Søndag,Søndag,NULL,NO,4/28/2019,4
25585,Austria,Staatsfeiertag,Staatsfeiertag,NULL,AT,5/1/2019,5
25587,Belgium,Dag van de Arbeid,Dag van de Arbeid,NULL,BE,5/1/2019,5
25590,Croatia,Me?unarodni praznik rada,Me?unarodni praznik rada,NULL,HR,5/1/2019,5
25592,Finland,Vappu,Vappu,NULL,FI,5/1/2019,5
25593,France,Fête du Travail,Fête du Travail,NULL,FR,5/1/2019,5
25594,Germany,Erster Mai,Erster Mai,NULL,DE,5/1/2019,5
25595,Hungary,A Munka ünnepe,A Munka ünnepe,NULL,HU,5/1/2019,5
25597,Italy,Festa dei Lavoratori,Festa dei Lavoratori,NULL,IT,5/1/2019,5
25600,Norway,Arbeidernes dag,Arbeidernes dag,NULL,NO,5/1/2019,5
25601,Poland,?wi?to Pa?stwowe,?wi?to Pa?stwowe,NULL,PL,5/1/2019,5
25602,Portugal,Dia do Trabalhador,Dia do Trabalhador,NULL,PT,5/1/2019,5
25605,Spain,Día del Trabajador,Día del Trabajador,NULL,ES,5/1/2019,5
25611,Poland,?wi?to Narodowe Trzeciego Maja,?wi?to Narodowe Trzeciego Maja,NULL,PL,5/3/2019,5
25614,Norway,Søndag,Søndag,NULL,NO,5/5/2019,5
25616,England,May Day,May Day,NULL,NULL,5/6/2019,5
25621,Scotland,May Day,May Day,NULL,NULL,5/6/2019,5
25626,France,Armistice 1945,Armistice 1945,NULL,FR,5/8/2019,5
25630,Norway,Søndag,Søndag,NULL,NO,5/12/2019,5
25633,Norway,Grunnlovsdag,Grunnlovsdag,NULL,NO,5/17/2019,5
25634,Norway,Søndag,Søndag,NULL,NO,5/19/2019,5
25638,Norway,Søndag,Søndag,NULL,NO,5/26/2019,5
25640,England,Spring Bank Holiday,Spring Bank Holiday,NULL,NULL,5/27/2019,5
25643,Scotland,Spring Bank Holiday,Spring Bank Holiday,NULL,NULL,5/27/2019,5
25647,Austria,Christi Himmelfahrt,Christi Himmelfahrt,NULL,AT,5/30/2019,5
25648,Belgium,O.L.H. Hemelvaart,O.L.H. Hemelvaart,NULL,BE,5/30/2019,5
25650,Finland,Helatorstai,Helatorstai,NULL,FI,5/30/2019,5
25651,France,Ascension,Ascension,NULL,FR,5/30/2019,5
25652,Germany,Christi Himmelfahrt,Christi Himmelfahrt,NULL,DE,5/30/2019,5
25654,Norway,Kristi himmelfartsdag,Kristi himmelfartsdag,NULL,NO,5/30/2019,5
25657,Italy,Festa della Repubblica,Festa della Repubblica,NULL,IT,6/2/2019,6
25658,Norway,Søndag,Søndag,NULL,NO,6/2/2019,6
25665,Belgium,Pinksteren,Pinksteren,NULL,BE,6/9/2019,6
